"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"2","0","file:/home/richard/local/bench/ipres/systems-showcase-files/","/home/richard/local/bench/ipres/systems-showcase-files","systems-showcase-files",,"Done","","Folder",,"2015-08-30T21:43:29","false",,"",,"","",""
"3","2","file:/home/richard/local/bench/ipres/systems-showcase-files/MCUSIN.XLW","/home/richard/local/bench/ipres/systems-showcase-files/MCUSIN.XLW","MCUSIN.XLW","Extension","Done","320","File","xlw","2015-01-21T03:13:44","false",,"2","fmt/59","application/vnd.ms-excel","Microsoft Excel 5.0/95 Workbook (xls)","5/95"
"3","2","file:/home/richard/local/bench/ipres/systems-showcase-files/MCUSIN.XLW","/home/richard/local/bench/ipres/systems-showcase-files/MCUSIN.XLW","MCUSIN.XLW","Extension","Done","320","File","xlw","2015-01-21T03:13:44","false",,"2","x-fmt/128","","Microsoft Excel Workspace",""
"4","2","file:/home/richard/local/bench/ipres/systems-showcase-files/Beach%20Scene.psp","/home/richard/local/bench/ipres/systems-showcase-files/Beach Scene.psp","Beach Scene.psp","Signature","Done","893160","File","psp","2015-01-21T01:18:40","false",,"1","x-fmt/233","","Paint Shop Pro Image","3.0"
"5","2","file:/home/richard/local/bench/ipres/systems-showcase-files/FORMLETR.WPS","/home/richard/local/bench/ipres/systems-showcase-files/FORMLETR.WPS","FORMLETR.WPS","Signature","Done","1818","File","wps","2015-01-21T00:55:34","false",,"1","fmt/163","","Microsoft Works Word Processor 1-3 for DOS and 2 for Windows",""
"6","2","file:/home/richard/local/bench/ipres/systems-showcase-files/ps5.psd","/home/richard/local/bench/ipres/systems-showcase-files/ps5.psd","ps5.psd","Signature","Done","578090","File","psd","2015-01-21T02:54:02","false",,"1","x-fmt/92","image/vnd.adobe.photoshop","Adobe Photoshop",""
"7","2","file:/home/richard/local/bench/ipres/systems-showcase-files/EPSjpegps25w.EPS","/home/richard/local/bench/ipres/systems-showcase-files/EPSjpegps25w.EPS","EPSjpegps25w.EPS","Signature","Done","252710","File","eps","2015-01-21T00:59:26","false",,"1","fmt/124","application/postscript","Encapsulated PostScript File Format","3"
"8","2","file:/home/richard/local/bench/ipres/systems-showcase-files/PSCS6DCS2ASCIIpreview.Y","/home/richard/local/bench/ipres/systems-showcase-files/PSCS6DCS2ASCIIpreview.Y","PSCS6DCS2ASCIIpreview.Y","Signature","Done","320526","File","y","2015-01-21T02:49:24","true",,"1","fmt/124","application/postscript","Encapsulated PostScript File Format","3"
"9","2","file:/home/richard/local/bench/ipres/systems-showcase-files/ManyFields3.msg","/home/richard/local/bench/ipres/systems-showcase-files/ManyFields3.msg","ManyFields3.msg","Container","Done","15360","File","msg","2015-01-21T03:15:50","false",,"1","x-fmt/430","","Microsoft Outlook Email Message","97-2003"
"10","2","file:/home/richard/local/bench/ipres/systems-showcase-files/1000FILE.TAZ","/home/richard/local/bench/ipres/systems-showcase-files/1000FILE.TAZ","1000FILE.TAZ",,"Done","31622","File","taz","2015-01-21T02:18:54","false",,"0",,"","",""
