filename,filesize,modified,errors,namespace,id,format,version,mime,basis,warning
systems-showcase-files/0-0-0.jpg,4782,2015-01-21T02:21:48+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[4780 2]]] (signature 1/2),
systems-showcase-files/0000008.bmp,4264314,2015-01-21T02:21:46+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/0000009.bmp,4264314,2015-01-21T02:21:38+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/0000010.bmp,4264314,2015-01-21T02:21:26+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/0000014.bmp,4264314,2015-01-21T02:21:10+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/0000023.bmp,2842962,2015-01-21T02:20:58+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are x-fmt/270, fmt/114, fmt/115, fmt/116, fmt/117, fmt/118, fmt/119"
systems-showcase-files/0000024.bmp,4264314,2015-01-21T02:20:48+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/0000032.bmp,4264314,2015-01-21T02:20:32+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/0000035.bmp,4264314,2015-01-21T02:20:18+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/0000037.bmp,4264316,2015-01-21T02:20:00+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/003288.jb2.pdf,12890,2015-01-21T02:19:52+11:00,,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,extension match pdf; byte match at [[[0 8]] [[12884 5]]],
systems-showcase-files/01560.VW4,21504,2015-01-21T02:19:50+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/0191-385.PPT,65024,2015-01-21T02:19:48+11:00,,pronom,fmt/126,Microsoft Powerpoint Presentation,97-2003,application/vnd.ms-powerpoint,extension match ppt; container name PowerPoint Document with name only,
systems-showcase-files/04 Cross Diagonal.vsd,13312,2015-01-21T02:19:46+11:00,,pronom,fmt/443,Microsoft Visio Drawing,2003-2010,application/vnd.visio,"extension match vsd; container name VisioDocument with byte match at 0, 27",
systems-showcase-files/05 The Highwayman.m4a,10026454,2015-01-21T02:19:42+11:00,,pronom,fmt/199,MPEG-4 Media File,,application/mp4,extension match m4a; byte match at [[[4 20]] [[36 4]]],
systems-showcase-files/0600R.IMG,809000,2015-01-21T02:19:26+11:00,,pronom,fmt/383,VICAR (Video Image Communication and Retrieval) Planetary File Format,,,"extension match img; byte match at 0, 37",
systems-showcase-files/0600R.LBL,11440,2015-01-21T02:19:22+11:00,,pronom,x-fmt/111,Plain Text File,,text/plain,text match ASCII,match on text only; extension mismatch
systems-showcase-files/080505-__D-Day_Invasion_Normandy_WW_II_[20548].kmz,40222,2015-01-21T02:19:20+11:00,,pronom,fmt/724,Keyhole Markup Language (Container),,application/vnd.google-earth.kmz,"extension match kmz; container name doc.kml with byte match at 41, 10",
systems-showcase-files/1-0-0.jpg,5849,2015-01-21T02:19:18+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[5847 2]]] (signature 1/2),
systems-showcase-files/1-0-1.jpg,2235,2015-01-21T02:19:16+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[2233 2]]] (signature 1/2),
systems-showcase-files/1-1-0.jpg,1294,2015-01-21T02:19:14+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[1292 2]]] (signature 1/2),
systems-showcase-files/1-1-1.jpg,1463,2015-01-21T02:19:12+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[1461 2]]] (signature 1/2),
systems-showcase-files/1.gif,637284,2015-01-21T02:19:10+11:00,,pronom,fmt/3,Graphics Interchange Format,87a,image/gif,extension match gif; byte match at [[[0 6]] [[637283 1]]],
systems-showcase-files/10.bmp,4264314,2015-01-21T02:19:06+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/1000FILE.TAR,1026560,2015-01-21T02:18:58+11:00,,pronom,x-fmt/265,Tape Archive Format,,application/x-tar,"extension match tar; byte match at 0, 156",
systems-showcase-files/1000FILE.TAZ,31622,2015-01-21T02:18:54+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/11.jpg,154840,2015-01-21T02:18:52+11:00,,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,extension match jpg; byte match at [[[0 14]] [[154838 2]]],
systems-showcase-files/11235.BUG,2560,2015-01-21T02:18:50+11:00,,pronom,x-fmt/261,WordStar for MS-DOS Document,7.0,,"byte match at 0, 128",extension mismatch
systems-showcase-files/12.png,1968125,2015-01-21T02:18:48+11:00,,pronom,fmt/13,Portable Network Graphics,1.2,image/png,extension match png; byte match at [[[0 16]] [[1967686 4]] [[1968113 12]]],
systems-showcase-files/123OS22.WG2,17060,2015-01-21T02:18:40+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/123PIE.FMV,34963,2015-01-21T02:18:38+11:00,,pronom,x-fmt/55,Frame Vector Metafile,,,extension match fmv,match on extension only
systems-showcase-files/13.tif,5684680,2015-01-21T02:18:36+11:00,,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
systems-showcase-files/14.bmp,4264314,2015-01-21T02:18:24+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/15.gif,880323,2015-01-21T02:18:14+11:00,,pronom,fmt/4,Graphics Interchange Format,89a,image/gif,extension match gif; byte match at [[[0 6]] [[880322 1]]],
systems-showcase-files/16.jpg,274743,2015-01-21T02:18:12+11:00,,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,extension match jpg; byte match at [[[0 14]] [[274741 2]]],
systems-showcase-files/17.png,2106296,2015-01-21T02:18:10+11:00,,pronom,fmt/11,Portable Network Graphics,1.0,image/png,extension match png; byte match at [[[0 16]] [[2106284 12]]],
systems-showcase-files/18.tif,4269518,2015-01-21T02:17:58+11:00,,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
systems-showcase-files/19.gif,889157,2015-01-21T02:17:44+11:00,,pronom,fmt/4,Graphics Interchange Format,89a,image/gif,extension match gif; byte match at [[[0 6]] [[889156 1]]],
systems-showcase-files/1task3resources.mpp,100864,2015-01-21T02:17:36+11:00,,pronom,x-fmt/247,Microsoft Project,2000-2003,application/vnd.ms-project,extension match mpp; container name Props9 with name only (signature 1/2),
systems-showcase-files/2-0-0.jpg,1356,2015-01-21T02:17:30+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[1354 2]]] (signature 1/2),
systems-showcase-files/2-0-1.jpg,2944,2015-01-21T02:17:28+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[2942 2]]] (signature 1/2),
systems-showcase-files/2-0-2.jpg,1164,2015-01-21T02:17:26+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[1162 2]]] (signature 1/2),
systems-showcase-files/2-0-3.jpg,380,2015-01-21T02:17:24+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[378 2]]] (signature 1/2),
systems-showcase-files/2-1-0.jpg,3358,2015-01-21T02:17:22+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[3356 2]]] (signature 1/2),
systems-showcase-files/2-1-1.jpg,6549,2015-01-21T02:17:20+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[6547 2]]] (signature 1/2),
systems-showcase-files/2-1-2.jpg,3967,2015-01-21T02:17:18+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[3965 2]]] (signature 1/2),
systems-showcase-files/2-1-3.jpg,498,2015-01-21T02:17:14+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[496 2]]] (signature 1/2),
systems-showcase-files/2-2-0.jpg,1370,2015-01-21T02:17:12+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[1368 2]]] (signature 1/2),
systems-showcase-files/2-2-1.jpg,1855,2015-01-21T02:17:08+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[1853 2]]] (signature 1/2),
systems-showcase-files/2-2-2.jpg,2953,2015-01-21T02:17:06+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[2951 2]]] (signature 1/2),
systems-showcase-files/2-2-3.jpg,391,2015-01-21T02:17:04+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[389 2]]] (signature 1/2),
systems-showcase-files/2-3-0.jpg,492,2015-01-21T02:17:02+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[490 2]]] (signature 1/2),
systems-showcase-files/2-3-1.jpg,492,2015-01-21T02:17:00+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[490 2]]] (signature 1/2),
systems-showcase-files/2-3-2.jpg,492,2015-01-21T02:16:58+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[490 2]]] (signature 1/2),
systems-showcase-files/2-3-3.jpg,296,2015-01-21T02:16:56+11:00,,pronom,fmt/41,Raw JPEG Stream,,image/jpeg,extension match jpg; byte match at [[[0 3]] [[294 2]]] (signature 1/2),
systems-showcase-files/2.gif,637284,2015-01-21T02:16:54+11:00,,pronom,fmt/4,Graphics Interchange Format,89a,image/gif,extension match gif; byte match at [[[0 6]] [[637283 1]]],
systems-showcase-files/20.jpg,281094,2015-01-21T02:16:52+11:00,,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,extension match jpg; byte match at [[[0 14]] [[281092 2]]],
systems-showcase-files/20121004_181205.mp4,7681943,2015-01-21T02:16:50+11:00,,pronom,fmt/199,MPEG-4 Media File,,application/mp4,extension match mp4; byte match at [[[4 8]] [[7609911 4]]],
systems-showcase-files/20130316_164846.jpg,3511417,2015-01-21T02:16:46+11:00,,pronom,x-fmt/391,Exchangeable Image File Format (Compressed),2.2,image/jpeg,extension match jpg; byte match at [[[0 16]] [[286 12]] [[3511415 2]]] (signature 2/2),
systems-showcase-files/20140904211209084.warc,754260,2015-01-21T02:16:42+11:00,,pronom,fmt/289,WARC,,,"extension match warc; byte match at 0, 231",
systems-showcase-files/20140904211346532.warc,1359131,2015-01-21T02:16:40+11:00,,pronom,fmt/289,WARC,,,"extension match warc; byte match at 0, 231",
systems-showcase-files/20140904211418215.warc,1822897,2015-01-21T02:16:34+11:00,,pronom,fmt/289,WARC,,,"extension match warc; byte match at 0, 231",
systems-showcase-files/20140904211519868.warc,13927232,2015-01-21T02:16:30+11:00,,pronom,fmt/289,WARC,,,"extension match warc; byte match at 0, 231",
systems-showcase-files/21.png,2351982,2015-01-21T02:16:02+11:00,,pronom,fmt/11,Portable Network Graphics,1.0,image/png,extension match png; byte match at [[[0 16]] [[2351970 12]]],
systems-showcase-files/22.tif,5689951,2015-01-21T02:15:54+11:00,,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
systems-showcase-files/23.bmp,2842962,2015-01-21T02:15:40+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are x-fmt/270, fmt/114, fmt/115, fmt/116, fmt/117, fmt/118, fmt/119"
systems-showcase-files/24.bmp,4264314,2015-01-21T02:15:32+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/25.gif,687257,2015-01-21T02:15:24+11:00,,pronom,fmt/4,Graphics Interchange Format,89a,image/gif,extension match gif; byte match at [[[0 6]] [[687256 1]]],
systems-showcase-files/26.jpg,273060,2015-01-21T02:15:22+11:00,,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,extension match jpg; byte match at [[[0 14]] [[273058 2]]],
systems-showcase-files/27.png,4269250,2015-01-21T02:15:20+11:00,,pronom,fmt/11,Portable Network Graphics,1.0,image/png,extension match png; byte match at [[[0 16]] [[4269238 12]]],
systems-showcase-files/28.tif,4264756,2015-01-21T02:15:08+11:00,,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
systems-showcase-files/28510-0002.avi,45340114,2015-01-21T02:14:54+11:00,,pronom,fmt/5,Audio/Video Interleaved Format,,video/x-msvideo,extension match avi; byte match at [[[0 12]] [[12 16]] [[2048 12]]],
systems-showcase-files/28510-0002.mov,879728821,2015-01-21T02:13:20+11:00,,pronom,x-fmt/384,Quicktime,,video/quicktime,extension match mov; byte match at [[[4 8]] [[879724576 12]]] (signature 4/8),
systems-showcase-files/28510-0003.avi,19084790,2015-01-21T01:55:40+11:00,,pronom,fmt/5,Audio/Video Interleaved Format,,video/x-msvideo,extension match avi; byte match at [[[0 12]] [[12 16]] [[2048 12]]],
systems-showcase-files/28510-0003.mov,372098929,2015-01-21T01:55:12+11:00,,pronom,x-fmt/384,Quicktime,,video/quicktime,extension match mov; byte match at [[[4 8]] [[372096412 12]]] (signature 4/8),
systems-showcase-files/28510-0004.avi,25626238,2015-01-21T01:47:40+11:00,,pronom,fmt/5,Audio/Video Interleaved Format,,video/x-msvideo,extension match avi; byte match at [[[0 12]] [[12 16]] [[2048 12]]],
systems-showcase-files/28510-0004.mov,501470625,2015-01-21T01:47:02+11:00,,pronom,x-fmt/384,Quicktime,,video/quicktime,extension match mov; byte match at [[[4 8]] [[501467668 12]]] (signature 4/8),
systems-showcase-files/29.gif,791891,2015-01-21T01:37:42+11:00,,pronom,fmt/3,Graphics Interchange Format,87a,image/gif,extension match gif; byte match at [[[0 6]] [[791890 1]]],
systems-showcase-files/2shape.vsd,38912,2015-01-21T01:37:40+11:00,,pronom,x-fmt/258,Microsoft Visio Drawing,2000,application/vnd.visio,"extension match vsd; container name VisioDocument with byte match at 0, 27",
systems-showcase-files/3.jpg,151898,2015-01-21T01:37:38+11:00,,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,extension match jpg; byte match at [[[0 14]] [[151896 2]]],
systems-showcase-files/30 Seconds to Mars _ Up In the Air.sib,41148,2015-01-21T01:37:36+11:00,,pronom,fmt/696,Sibelius,,,"extension match sib; byte match at 0, 9",
systems-showcase-files/30.gif,791891,2015-01-21T01:37:34+11:00,,pronom,fmt/4,Graphics Interchange Format,89a,image/gif,extension match gif; byte match at [[[0 6]] [[791890 1]]],
systems-showcase-files/31.jpg,154776,2015-01-21T01:37:30+11:00,,pronom,fmt/43,JPEG File Interchange Format,1.01,image/jpeg,extension match jpg; byte match at [[[0 14]] [[154774 2]]],
systems-showcase-files/32.bmp,4264314,2015-01-21T01:37:30+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/33.png,4269232,2015-01-21T01:37:22+11:00,,pronom,fmt/11,Portable Network Graphics,1.0,image/png,extension match png; byte match at [[[0 16]] [[4269220 12]]],
systems-showcase-files/34.TIF,4270501,2015-01-21T01:37:14+11:00,,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
systems-showcase-files/35.bmp,4264314,2015-01-21T01:37:10+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/35FLOPPY.XPM,1493,2015-01-21T01:37:04+11:00,,pronom,x-fmt/208,X-Windows Pixmap Image,X10,image/x-xpixmap,extension match xpm; byte match at [[[0 9]] [[9 15]] [[1490 2]]],
systems-showcase-files/36.bmp,4264288,2015-01-21T01:37:02+11:00,,pronom,fmt/115,Windows Bitmap,2.0,image/bmp,"extension match bmp; byte match at 0, 26",
systems-showcase-files/37.bmp,4264316,2015-01-21T01:36:58+11:00,,pronom,fmt/116,Windows Bitmap,3.0,image/bmp,"extension match bmp; byte match at 0, 34",
systems-showcase-files/37162-USGS_Stream_Gages.kml,4323705,2015-01-21T01:36:52+11:00,,pronom,fmt/101,Extensible Markup Language,1.0,application/xml,"byte match at 0, 19",extension mismatch
